Number,Date,Check 1,O/T,Check 2,O/T,Check 3,O/T,Final Age,Initaials,
525,11/9/25,5,O,5,O,,,5O,TN,
526,11/9/25,4,T,4,T,,,4T,TN,
527,11/9/25,7,O,7,O,,,7O,TN,
487,11/9/25,3,O,3,O,,,3O,JC,
488,11/9/25,4,O,3,O,3,O,3O,MM,
489,11/9/25,5,O,5,O,,,5O,JC,
490/ inconclusive,11/9/25,4,T,5,T,2,T,,,
491,11/9/25,3,T,6,T,,,,,
492,11/9/25,3,O,3,O,,,3O,JC,
493/ inconclusive,11/9/25,6,O,5,T,7,T,,,
494,11/9/25,4,O,4,O,,,4O,JC,
496,11/9/25,5,T,6,T,5,T,5T,JC,
497,11/9/25,6,O,4,O,6,O,6O,PL,
498,11/9/25,5,T,5,T,,,5T,JC,
499,11/9/25,6,O,6,O,,,6O,TN,
500,11/9/25,3,T,3,T,,,3T,TN,
501/ inconclusive,11/9/25,2,T,4,O,2,O,,,
502,11/9/25,3,T,2,T,2,T,2T,PL,
503,11/9/25,6,O,4,O,,,,,
504,11/9/25,4,O,4,O,,,4O,PL,
242,9/7/25,,,3,T,,,,,
246,9/7/25,,,3,T,,,,,
282,2/23/25,,,2,T,,,,,
200,2/23/25,,,1,O,,,,,
222,2/23/25,,,2,T,,,,,
231,9/7/25,,,3,O,,,,,
245,9/7/25,,,2,O,,,,,
52,12/2/24,,,4,O,,,,,
294,2/23/25,,,4,T,,,,,
91,9/7/25,,,7,O,,,,,
575,11/9/25,6,O,7,O,7,O,7O,TN,
576,11/9/25,5,T,4,T,5,T,5T,TN,
577/ inconclusive,11/9/25,4,T,3,O,2,T,,,
578,11/9/25,4,O,4,T,4,O,4O,JC,
579,11/9/25,3,O,4,T,4,T,4T,PL,
580,11/9/25,4,O,4,T,4,O,4O,PL,
581,11/9/25,4,O,6,O,,,,,
582,11/9/25,10,O,10,O,,,10O,TN,
583,11/9/25,3,O,3,O,,,3O,TN,
584,11/9/25,5,O,4,O,4,O,4O,JC,
586,11/9/25,3,T,4,T,4,T,4T,JC,
